MAE,RMSE,R2,MAPE,Modelo,Horizonte (min)
7.127140522003174,9.11494255065918,0.18583184480667114,8.348950743675232,LSTM,360
15.113140106201172,18.47635841369629,-2.345329999923706,17.233674228191376,Transformer,360
6.713144779205322,9.356281280517578,0.1421472430229187,8.206604421138763,XGBoost,360
11.425813428293813,12.384699397109415,0.23687045484217284,15.872704457169181,Prophet,360
10.261019706726074,12.315242767333984,0.8771517276763916,958.7173461914062,LSTM,720
22.790189743041992,27.99799919128418,0.36505353450775146,3062.887763977051,Transformer,720
7.354484558105469,8.641364097595215,0.9395149946212769,599.1383075714111,XGBoost,720
12.882324157226973,14.000986185102688,0.5143282589821636,20.685898208365693,Prophet,720
8.465272903442383,10.829948425292969,0.8644177317619324,558.4987163543701,LSTM,1440
15.822999000549316,21.617794036865234,0.45977723598480225,1648.375129699707,Transformer,1440
9.155786514282227,11.820140838623047,0.8384914994239807,763.3966445922852,XGBoost,1440
11.500569908115404,13.878446284634665,0.5649343606630989,25.045825957815637,Prophet,1440
8.10730266571045,11.03762435913086,0.845658540725708,405.74402809143066,LSTM,2880
16.040422439575195,22.617834091186523,0.3519129753112793,960.6696128845215,Transformer,2880
9.605507850646973,12.743475914001465,0.7942655086517334,440.47412872314453,XGBoost,2880
11.392799882970444,13.87886775192951,0.6473515097528382,37.40034011227781,Prophet,2880
