MAE,RMSE,MAPE,R2,Modelo,Horizonte (min)
7.889336698079487,10.654913908170839,46.319196601037106,0.8063355684776489,LSTM,30
19.34343733482361,24.18748055515729,128.8425431650743,-0.003151534553100762,Transformer,30
5.788109312985341,7.846855979777007,35.28715260892712,0.8951285440024243,XGBoost,30
23.54236606569442,30.321889831168438,127.79843821823629,-0.6134231487652958,LSTM,360
20.06747736533634,25.406506760301227,135.29395919305475,-0.10394283955859218,Transformer,360
24.6834204694869,31.35395019171005,137.26334377490815,-0.7192881837194788,XGBoost,360
30.153259989549024,34.33434723677939,54.46100834948823,-9.322117962900231,Prophet,360
26.321881004846286,31.719241020639174,210.20505819689552,-0.6623430342751361,LSTM,720
20.050754042119827,25.647828929856843,129.74545005159916,-0.09460231787031714,Transformer,720
28.16154612411563,34.21328677491787,226.72767030400277,-0.9491763274475559,XGBoost,720
35.27212577483984,39.18220221551042,170.88320266663496,-9.08049236422548,Prophet,720
15.263656871536801,20.198668871964674,118.57304063275016,0.32853647832742033,LSTM,1440
16.62107772569505,21.556676359556846,158.22589944180962,0.2443061798497971,Transformer,1440
16.31165004658926,21.930955774278868,133.40189332412686,0.21904610548148598,XGBoost,1440
33.46843124041178,37.73493673823756,141.48348966922947,-1.8286496783434731,Prophet,1440
